tt0761328,The Merger,2000,\N,45,Adventure/Game-Show/Reality-TV,6.9,143
tt0140649,De uitdaging,1990,1998,\N,Reality-TV,6.8,5
tt0177440,Family Feud,1999,\N,30,Comedy/Game-Show/Reality-TV,6.8,2752
tt0246272,The 21 Hottest Stars Under 21,1999,\N,\N,Reality-TV,6.8,5
tt0264269,KÃ©sz ÃtverÃ©s Show,1999,\N,\N,Comedy/Reality-TV,6.8,52
tt0285372,Hot Off the Grill with Bobby Flay,1998,\N,\N,Reality-TV,6.8,13
tt0290373,Sexcetera,1998,\N,60,Reality-TV,6.8,143
tt0326468,Ibiza Uncovered,1998,\N,52,Reality-TV,6.8,42
tt0761323,Quest for Food,2000,\N,45,Adventure/Game-Show/Reality-TV,6.8,156
tt0761326,The Generation Gap,2000,\N,44,Adventure/Game-Show/Reality-TV,6.8,162
tt0795128,Hot On! Homes,2000,\N,\N,Reality-TV,6.8,5
tt0160999,The Tourist Trap,1998,\N,\N,Reality-TV,6.7,35
tt0299375,Robinson ekspeditionen,1998,\N,90,Adventure/Game-Show/Reality-TV,6.7,79
tt0369117,House Hunters,1999,\N,30,Reality-TV,6.7,1305
tt0397819,Police/ Camera/ Action,1994,\N,26,Crime/Reality-TV,6.7,47
tt0761320,Long Hard Days,2000,\N,45,Adventure/Game-Show/Reality-TV,6.7,139
tt0801935,Argentina,1996,\N,\N,Adventure/Reality-TV,6.7,7
tt0802045,West Africa: Ghana and the Ivory Coast,1998,\N,\N,Adventure/Reality-TV,6.7,6
tt0178123,America's Greatest Pets,1998,1999,\N,Family/Reality-TV,6.6,12
tt0189251,Changing Rooms,1997,2004,30,Family/Reality-TV,6.6,166
tt0233099,Challenge 2000: Stratos-Fear,2000,\N,30,Adventure/Game-Show/Reality-TV,6.6,36
tt0236900,Fuera de serie,1995,1998,30,Reality-TV,6.6,10
tt0237913,When Good Pets Go Bad,1999,\N,\N,Reality-TV,6.6,23
tt0281416,Animal Court,1998,2000,30,Reality-TV,6.6,25
tt0312129,ExpediciÃ³n Robinson,2000,\N,60,Adventure/Game-Show/Reality-TV,6.6,14
tt0401914,Boogie Woogie Kids Championship,1997,\N,\N,Game-Show/Music/Reality-TV,6.6,43
tt0761319,Death of an Alliance,2000,\N,45,Adventure/Game-Show/Reality-TV,6.6,141
tt0761321,Old and New Bonds,2000,\N,45,Adventure/Game-Show/Reality-TV,6.6,143
tt0761322,Pulling Your Own Weight,2000,\N,45,Adventure/Game-Show/Reality-TV,6.6,148
tt0761329,Thy Name Is Duplicity,2000,\N,45,Adventure/Game-Show/Reality-TV,6.6,143
tt0761330,Too Little/ Too Late?,2000,\N,45,Adventure/Game-Show/Reality-TV,6.6,148
tt0761331,Udder Revenge,2000,\N,45,Adventure/Game-Show/Reality-TV,6.6,144
tt0870390,Lapdance 101 with Jordan,2000,\N,\N,Reality-TV,6.6,5
tt0144048,Gladiators,1992,2000,60,Action/Game-Show/Reality-TV,6.5,940
tt0264245,Expedition: Robinson,1997,\N,60,Adventure/Game-Show/Reality-TV,6.5,179
tt0383761,Curb Appeal,1999,\N,\N,Reality-TV,6.5,41
tt0391606,Ground Breakers,1997,\N,30,Reality-TV,6.5,10
tt0545882,America's Most Wanted Crossover,2000,\N,\N,Action/Crime/Reality-TV,6.5,6
tt0761318,Crack in the Alliance,2000,\N,45,Adventure/Game-Show/Reality-TV,6.5,141
tt0800323,A Day in the Lives of 'Melrose Place',1994,\N,\N,Reality-TV,6.5,8
tt0180300,Weddings of a Lifetime,1995,\N,\N,Reality-TV,6.4,19
tt0271323,Tore pÃ¥ sporet,1996,\N,\N,Reality-TV,6.4,51
tt0284746,Kulturzeit,1995,\N,40,News/Reality-TV,6.4,28
tt0288387,Power of Attorney,2000,2002,\N,Reality-TV,6.4,9
tt0341864,Location/ Location/ Location,2000,\N,\N,Reality-TV,6.4,278
tt0372141,American Bounty Hunter,1996,\N,44,Crime/Drama/Reality-TV,6.4,5
tt0912682,Design Remix,1999,2007,30,Reality-TV,6.4,5
tt0114639,Taxicab Confessions,1995,\N,60,Comedy/Reality-TV,6.3,367
tt0115091,All Rise for Julian Clary,1996,1997,\N,Comedy/Reality-TV,6.3,15
tt0121029,Sylvania Waters,1992,\N,30,Documentary/Reality-TV,6.3,18
tt0155394,Police Videos,1998,2012,60,Action/Crime/Reality-TV,6.3,227
tt0217970,World's Scariest Police Chases...,1997,2002,\N,Reality-TV,6.3,35
